Text,Target,clened_text
واقعاً رژیم گرفتن راحته، من خودم تصمیم گرفتم فست فود نخورم، الان میرم پیتزا بگیرم میگم حسابی لفتش بده.  »آقا الماسی«  @OfficialPersianTwitter,1,واقعا رژیم گرفتن راحته خودم تصمیم گرفتم فست فود نخورم الان میرم پیتزا بگیرم میگم حسابی لفتش بده آقا الماسی
بعضیا با اینکه رفتار مناسبی باهات ندارن ولی حالتو خوب میکنن، مثل شیاف دیکلوفناک  »دابانف«  @OfficialPersianTwitter,1,بعضیا رفتار مناسبی بات ندارن حالتو میکنن شیاف دیکلوفناک دابانف
ناموسا بالای درخت لش کردن و موز خوردن چش بود که یهو تصمیم گرفتیم تکامل پیدا کنیم؟  »حاج امیر هستم«  @OfficialPersianTwitter,2,ناموسا بالای درخت لش موز خوردن چش یهو تصمیم گرفتیم تکامل حاج امیر هستم
بزودی... +چطوری باهم آشنا شدید؟ -واییی باید میدیدی چه قشنگ زنجیر میزد 😂  »نمیدونم که...«  @OfficialPersianTwitter,1,بزودی چطوری باهم آشنا شدید وای می‌دیدی قشنگ زنجیر می‌زد 😂 نمیدونم
‏بچه‌ی هفت ساله به مامانش گفت ما مثل دو تا خط موازی‌ایم. تو هیچوقت حرف منو نمی‌فهمی. =))))  »یک واقعا لیلی«  @OfficialPersianTwitter,1,بچهی هفت مامانش خط موازیایم هیچوقت حرف منو نمی‌فهمی واقعا لیلی
‏چجوری توی محرم دوس دختر پیدا میکنید؟ من لباس یزید پوشیده بودم تا میرفتم سمت دخترا جیغ میزدن  *استاد هستم خیر سرم*  @OfficialPersianTwitter,1,چجوری توی محرم دوس دختر می‌کنید لباس یزید پوشیده_بودم می‌رفتم دخترا جیغ میزدن استاد هستم خیر سرم
‏این دستفروشا که به صورت سیار ابزار میفروشن خیلی باحالن  میگی این آچاره چند؟ میگن یک میلیون بعداز چهل ثانیه چونه زدن میان روی حدود پونزده هزار تومن  *موقعیتِ‌مقداد*  @OfficialPersianTwitter,1,دستفروشا صورت سیار ابزار میفروشن باحالن میگی آچاره میگن یک‌میلیون بعداز چهل ثانیه چونه زدن پونزده هزار تومن موقعیتمقداد
‏چرا کسی راجع به اینکه گربه اندازه‌ی یک انسان بالغ پی‌پی میکنه و بوی توالت عمومی میده حرفی نمیزنه؟ =)))  چس‌مثقال گربه‌س، اندازه‌ی ۱۰تای خودش خروجی میده.  *تینا*  @OfficialPersianTwitter,1,راجع گربه اندازهی انسان بالغ پیپی میکنه بوی توالت عمومی میده حرفی نمیزنه چسمثقال گربهس اندازهی تای خروجی میده تینا
‏آدم یکی طلب‌کارشو تو خیابون نبینه، یکی هم اکسشو. به خصوص اگه جفتشون یه نفر باشن.  *مسترایدر*  @OfficialPersianTwitter,1,آدم طلبکارشو خیابون نبینه اکسشو اگه جفتشون  نفر باشن مسترایدر
‏هالک ایرانی اگه بادیگارد میخواد من هستم، ۹۰٪ اونایی که نمیتونه خودش بزنه رو من میتونم بزنم  *مسن*  @OfficialPersianTwitter,1,لک ایرانی اگه بادیگارد میخواد هستم اونایی نمیتونه بزنه میتونم بزنم مسن
‏در حاليكه من هنوز معتقدم تو سوشل مديا نبايد به كسي اعتماد كرد، دوستم با دوس پسرش كه تو اينستا اشنا شده بودن ازدواج كرد رفتن هلند  *میم‌قاف*  @OfficialPersianTwitter,1,حالیکه معتقدم سوشل مدیا اعتماد دوستم دوس پسرش اینستا اشنا ازدواج رفتن هلند میمقاف
‏حالا درسته قدیمیا گفتن مهمون خر صاحبخونه‌ست، ولی اینکه الان ۲ماهه رفیقم داره بهم نون پنیر میده هم یکم زیاده‌رویه دیگه داره کم کم بهم بر میخوره واقعا  *MehdiBMP*  @OfficialPersianTwitter,1,درسته قدیمیا گفتن مهمون خر صاحبخونهست الان ماهه رفیقم داره بهم نون پنیر میده یکم زیادهرویه دیگه داره کم‌کم بهم میخوره واقعا
‏از هرکی میپرسی تو رابطه ای میگه نه سینگلم  اوناییم که تو خیابون لاو میترکونن همش منم نه؟  *Panishh*  @OfficialPersianTwitter,1,هرکی می‌پرسی رابطه‌ای میگه سینگلم اوناییم خیابون لاو میترکونن همش منم
‏اگه بیشتر پولت ب جای سیگار خرج فندک میشه بدون رفیقای لاشخوری داری  *آیدا*  @OfficialPersianTwitter,1,اگه پولت ب سیگار خرج فندک میشه رفیقای لاشخوری داری آیدا
‏شیر تعزیه اصلا جزو فرهنگ ما نبوده عربا به زور واردش کردن که وجه‌ی پلنگ پتوی ایرانی رو خراب کنن.  *هات چاکلت*  @OfficialPersianTwitter,1,شیر تعزیه اصلا جزو فرهنگ نبوده عربا زور واردش وجهی پلنگ پتوی ایرانی خراب کنن ت چاکلت
‏من یه زن مثل عمره می‌خوام؛ عاقل و فهمیده، همراه و همدل، باباش حاکم عراق عرب. فقط امیدوارم اون براش مهم نباشه که من شبیه عبدالله زبیرم.  *آقا مصطفی*  @OfficialPersianTwitter,1, زن عمره میخوام عاقل فهمیده همراه همدل باباش حاکم عراق عرب امیدوارم اون براش نباشه شبیه عبدالله زبیرم آقا مصطفی
‏نمی‌دونم چرا همه‌ش حس می‌کنم خوردن موز باعث جلوگیری از ریزش موهام می‌شه. شاید هم چون تا حالا میمون کچل ندیدم.  *دومینور هارمونیک*  @OfficialPersianTwitter,1,نمیدونم همهش حس خوردن موز جلوگیری ریزش موم میشه میمون کچل ندیدم دومینور رمونیک
مترو هم واقعا جایه عجیبیه یه نفر با کت و شلوار خیلی جنتلمن نشسته که یهو در باز میشه شروع میکنه دویدن و هل دادن مردم تو پله برقی  *ⓐⓥⓔⓡⓒⓘⓞⓝ ⓐⓜⓞ*  @OfficialPersianTwitter,1,مترو واقعا جایه عجیبیه  نفر کت شلوار جنتلمن نشسته یهو میشه میکنه دویدن هل مردم پله‌برقی
‏فک کنم یه فصل جدید به وجود اومده آب و هوایی که توش هستیم نه تابستونه، نه بهار، نه پاییز و نه زمستون  *واکی باباشی*  @OfficialPersianTwitter,1,فک  فصل اومده آب هوایی توش تابستونه بر پاییز زمستون واکی باباشی
‏تو ترمینال شل بگیری یهو دیدی دستت رو گرفتن کردن تو اتوبوس بردنت شمال  *راسل*  @OfficialPersianTwitter,1,ترمینال شل بگیری یهو دیدی دستت گرفتن اتوبوس بردنت شمال راسل
‏به آدمایی که خوابشون میاد میگن خواب آلو و به آدمایی که نقش بازی می‌کنن که خوابشون میاد میگن خواب زردآلو  *زندانی پنجم*  @OfficialPersianTwitter,1,آدمایی خوابشون میاد میگن خواب آلو آدمایی نقش بازی میکنن خوابشون میاد میگن خواب زردآلو زندانی پنجم
‏به کسی که تو ایران زندگی می‌کنه میگن ایرانی، الان به کسی که اهل کره‌ی شمالیه چی میگن؟ کره‌ای شمالی‌ای؟ کروی شمالی؟ کره‌ای شمالوی؟ کره‌ خر پدرسگ؟ ای بابا.  *گراسیاس*  @OfficialPersianTwitter,1,ایران زندگی میکنه میگن ایرانی الان اهل کرهی شمالیه چی میگن کری شمالیای کروی شمالی کری شمالوی کره خر پدرسگ‌ای بابا گراسیاس
‏یکی از معایب زیادی سینگل موندن نداشتن استیکر و گیف بغله، فکر کن بهت میگه بغل میخوام تو هی پیش خودت میگی خب الان چه گهی بخورم :)))))  *اسکیرو*  @OfficialPersianTwitter,1,معایب سینگل موندن نداشتن استیکر گیف بغله کن بهت میگه بغل میخوام هی خودت میگی خب الان گهی بخورم اسکیرو
‏شما اگه روزی هشت‌ لیوان آب بخوری دیگه بقیه کارهات رو باید توی همون دستشویی انجام بدی.  × دومینور هارمونیک ×  @OfficialPersianTwitter,1,اگه روزی هشت لیوان آب بخوری دیگه بقیه کارت توی همون دستشویی انجام بدی دومینور رمونیک
‏هر پنج دقیقه یکبار به خودم: احمق تو که کنکور ندادی اصلا چرا استرس داری؟  × فاطک ×  @OfficialPersianTwitter,2,دقیقه یکبار خودم احمق کنکور ندادی اصلا استرس داری فاطک
‏مغز من هنگام لیزر: این تو نیستی که اینجایی این فقط جسم‌ توعه به به چه نسیم خنکی می‌وزه آیا من کجایم؟ اینا اینقد از این چیزا دیدن که!  × babe che ×  @OfficialPersianTwitter,2,مغز لیزر نیستی اینجایی جسم توعه به‌به نسیم خنکی میوزه کجایم اینا اینقد چیزا دیدن
تنها سودی که دانشگاه برای من داشت این بود که تونستم کارت دانشجوییم رو به مخابرات نشون بدم تا نت ۲۵۶ بهم بدن  ×⁦ Eciosan ⁦×  @OfficialPersianTwitter,1,سودی دانشگاه تونستم کارت دانشجوییم مخابرات نشون بدم نت بهم بدن
‏می‌نویسید «گرسنه‌گی» و فکر می‌کنید دارید نیم‌فاصله رعایت می‌کنید؟ نیم‌فاصله رعایت نکنید.  × لوج ×  @OfficialPersianTwitter,1,می‌نویسید گرسنهگی می‌کنید دارید نیمفاصله رعایت می‌کنید نیمفاصله رعایت نکنید لوج
من یه رفیق دارم از سربازی معاف شده ولی اونم حتی میگفت تو سربازی زده تو گوش فرماندش  × پدرروحانی ×  @OfficialPersianTwitter,1, رفیق دارم سربازی معاف اونم می‌گفت سربازی زده گوش فرماندش پدرروحانی
‏نتایج کنکورم که امشب اعلام میشه و دیگه راحت میتونید امشب تو هیئت ها عزاداری کنید =)  》gol pesar《  @OfficialPersianTwitter,1,نتایج کنکورم امشب اعلام میشه دیگه راحت میتونید امشب هیئت‌ عزاداری
‏من اونجایی به زیاد بودن رتبه‌ی کنکورم پی بردم که برا دوستم پیامکش کردم پول دو تا اس‌ام‌اس کسر کرد  》خلافکار《  @OfficialPersianTwitter,1,اونجایی رتبهی کنکورم بردم برا دوستم پیامکش پول اساماس کسر خلافکار
‏داییم تو بیوش نوشته: من شیری بودم که عشق تو یال هایم را ریخت... یعنی هرجور شده میخواد کچل شدنش رو توجیه کنه حتی به قیمت ریدن به سلطان جنگل و طبیعت :)))  》میم مثل من《  @OfficialPersianTwitter,1,داییم بیوش نوشته شیری بودم عشق یال یم ریخت هرجور میخواد کچل شدنش توجیه کنه قیمت ریدن سلطان جنگل طبیعت می‌م
‏چیه میرن خواستگاری گل و شیرینی میبرن؟! خواستگاری باید پیتزا متری بُرد دو تا خانواده موقع خوردن، اخلاقِ هم دستشون بیاد  》آتوسا صرامی《  @OfficialPersianTwitter,1,چیه میرن خواستگاری گل شیرینی میبرن خواستگاری پیتزا متری برد خانواده موقع خوردن اخلاق دستشون بیاد آتوسا صرامی
یکی از بیمارای امروز میگفت من درسشو خوندم تشخیصم این که درد معده و غده فوق کلیه دارم ، شما فقط دارو این دوتا درد رو برام بنویس حالا سن وسوادش ۱۴ ساله ، زیست شناسی اول دبیرستان😂😂😂  》painkiller《  @OfficialPersianTwitter,3,بیمارای امروز می‌گفت درسشو خوندم تشخیصم این‌که درد معده غده کلیه دارم دارو دوتا درد برام بنویس سن وسوادش زیست شناسی دبیرستان😂
خوب سیل که اومد، هیچ کاری از دست من برنیومد. اگه زلزله بیاد می‌تونید رو من حساب کنید آخه رفیقام بهم میگن ستون .😂  》ꪑꫀꫝ𝕣ᦔꪖᦔ《  @OfficialPersianTwitter,1,سیل اومد کاری دست برنیومد اگه زلزله بیاد میتونید حساب آخه رفیقام بهم میگن ستون 😂
‏دستش رو گرفت زیر شیر آب، بهم چند قطره آب پاشید، لیوان آب پاشیدم، لیوان آب پاشید. بطری آب خالی کردم روش، آب گلدون رو برگردوند. منم  آخرش شلنگ تراس رو گرفتم روش. بازی چجوری تموم شد؟ منو عین جزوه زد زیر بغلش گرفت زیر دوش. نتیجه؟ شوهر هم سایز انتخاب کنین که جنگ در کمال عدالت تموم شه.  》دلفین《  @OfficialPersianTwitter,3,دستش شیر آب بهم قطره آب پاشید لیوان آب پاشیدم لیوان آب پاشید بطری آب خالی آب گلدون برگردوند منم آخرش شلنگ تراس گرفتم بازی چجوری تموم منو جزوه زد بغلش دوش نتیجه شوهر سایز انتخاب کنین جنگ کمال عدالت تموم شه دلفین
‏مادربزرگ خدابیامرزم هر وقت کوکو درست می‌کرد میدید چسبیده به تابه، یکی از دخترا یا عروس خانم رو صدا می‌کرد می گفت من یه دیقه پام گرفته نمی تونم پاشم اون کوکو رو برگردونید. بعد که طرف کوکو رو به تره تبدیل می کرد سر غذا می گفت: اشکال نداره باید خودم بر میگردوندمش!!! سیاستش چرچیل بود  》Sabu《  @OfficialPersianTwitter,3,مادربزرگ خدابیامرزم وقت کوکو درست می‌دید چسبیده تابه دخترا عروس خانم صدا می‌گفت  دیقه پام نمی‌تونم پاشم اون کوکو برگردونید کوکو تره سر غذا می‌گفت اشکال نداره خودم میگردوندمش سیاستش چرچیل
پلیس کشیدم کنار و کوله پشتیم رو بررسی کرد، چیزی جز لپ تاپ و 2 تا کتاب شیمی دست نویس پیدا نکرد. گفت خجالت بکش، با این سیس حداقل باید عرق سگی جابجا کنی. تا آشپزخونم داشتم می‌خندیدم.  》1.14《  @OfficialPersianTwitter,3,پلیس کشیدم کوله پشتیم بررسی لپ‌تاپ ۲ کتاب شیمی دست‌نویس نکرد خجالت بکش سیس عرق سگی جابجا کنی آشپزخونم داشتم می‌خندیدم ۱۱۴
بابام با سوپری سر کوچه دعواش شده طرف آخر دعوا گفته راستی پسرتم اینجا سیگار میخره، بیشرف دعواتو بکن به من چه منو چرا منو تَگ میکنی  》خلافکار《  @OfficialPersianTwitter,2,بابام سوپری سر کوچه دعواش آخر دعوا راستی پسرتم سیگار میخره بیشرف دعواتو بکن منو منو تگ می‌کنی خلافکار
آپشن کنکور امسال اینه‌ که با خیالت راحت میتونی بری بیرون گریه کنی تازه چایی هم بهت میدن  》شهریوری《  @OfficialPersianTwitter,1,آپشن کنکور امسال اینه خیالت راحت میتونی بری گریه کنی تازه چایی بهت میدن شهریوری
‏نمی‌فهمم چرا 2afm نمی‌تونه کنسرت بذاره؟ این‌همه عن و گوه دارن کنسرت میذارن، 2afm بدبخت که حداقل از اینا بهتره، آدم می‌ره کنسرتش باهاش عربده می‌کشه: بدبخت قیافه‌تو ببین ترکیدی.  》پویا زِد《  @OfficialPersianTwitter,2,نمی‌فهمم ۲ نمیتونه کنسرت بذاره اینهمه عن گوه دارن کنسرت میذارن ۲ بدبخت اینا بهتره آدم میره کنسرتش باش عربده میکشه بدبخت قیافهتو ببین ترکیدی پویا زد
‏دقت کردین بچه ها تا دوسالگی تپلن... مردها هم بعد ازدواج چاق میشن..  حالا اگه گفتید نقطه اشتراکشون چیه..؟؟  》احمد رضاا《  @OfficialPersianTwitter,3,دقت کردین بچه‌ دوسالگی تپلن مرد ازدواج چاق میشن اگه گفتید نقطه اشتراکشون چیه احمد رضاا
‏داشتم آرشیو عکسارو نگاه میکردم خودمو‌ دیدم با شوک گفتم وای من چقدر زشت بودم قبلا، بابام صداشو بالا برد از تو هال گفت الانم تغییری نکردی:/  》ترمینا لُپ《  @OfficialPersianTwitter,1,داشتم آرشیو عکسارو نگاه می‌کردم خودمو دیدم شوک گفتم وای چقدر زشت بودم قبلا بابام صداشو برد ل الانم تغییری نکردی ترمینا لپ
طرف کل فالوئراش ۱۰ نفره بعد استوری گذاشته: خواستم به نوبه خودم فرا رسیدن ماه محرم رو به تمام مردم ایران تسلیت بگم. سلطان اس ام اس میدادی😂  》عموکاکتوس《  @OfficialPersianTwitter,1,فالوئراش نفره استوری گذاشته خواستم نوبه خودم فرا ماه محرم مردم ایران تسلیت بگم سلطان اس‌ام اس می‌دادی😂 عموکاکتوس
‏همسایه مون اسنپ کار میکنه میگه امسالم مختارو تا آخر ببینم میرم کوفه اسنپ کار میکنم دیگه همه کوچه‌پس‌‌کوچه هاشو حفظم 😂  》MAMAD《  @OfficialPersianTwitter,1,همسایه مون اسنپ کار میکنه میگه امسالم مختارو آخر ببینم میرم کوفه اسنپ کار دیگه کوچهپسکوچه شو حفظم 😂
‏اولین سوال یک پدر ایرانی چندی بعد از فرستادن فرزند به خارج از کشور:  تو یعنی الان کامل متوجه میشی همه چی میگن؟  》Seena《  @OfficialPersianTwitter,3,سوال پدر ایرانی چندی فرستادن فرزند خارج کشور الان متوجه میشی چی میگن
دخترا چجوری واسه کراشتون ۱ تومن هدیه میخرید میفرستید؟ دوس دختر من بعد ۲ سال رفاقت روز تولدم بهم زنگ زد گفت ۲۰۰ بزن به کارتم میخوام برات کیک بگیرم بعد رفت یه کیک ۸۰ تومنی خرید  》استاد هستم خیر سرم《  @OfficialPersianTwitter,1,دخترا چجوری واسه کراشتون تومن هدیه می‌خرید می‌فرستید دوس دختر من‌بعد سال رفاقت روز تولدم بهم زنگ زد بزن کارتم میخوام برات کیک بگیرم  کیک تومنی خرید استاد هستم خیر سرم
‏نذری دادن تو محله قدیمی مون خیلی جالب شده، از چای زغالی گرفته تا قهوه و شربت آبلیمو، طرف یه نگاهی بهت می‌کنه و طبق تشخیص خودش بهت نذری میده، اگه تشخیص بده که اهل مواد هستی، بهت شربت آبلیمو نمیده 😂  》سلطان احمد خان《  @OfficialPersianTwitter,1,نذری محله قدیمی مون جالب چای زغالی قهوه شربت آبلیمو  نگاهی بهت میکنه تشخیص بهت نذری میده اگه تشخیص بده اهل مواد هستی بهت شربت آبلیمو نمیده 😂 سلطان احمد خان
‏توی اتوبوس دوتا زن سر صندلی دعواشون میشه ، راننده میگه اونی که سنش بیشتر بشینه ، دوتا زن بهم نگاه میکنن و صندلی تا پایان مسیر خالی میمونه 😂😂  》بُرهانیشونم《  @OfficialPersianTwitter,1,توی اتوبوس دوتا زن سر صندلی دعواشون میشه راننده میگه اونی سنش بشینه دوتا زن بهم نگاه میکنن صندلی پایان مسیر خالی میمونه 😂😂 برنیشونم
‏نفرات اول صف قیمه ی نذری محرم همونایین که تو یازده ماه سال میگن آتئیستن:))))  》Kordgirl《  @OfficialPersianTwitter,1,نفرات صف قیمه‌ی نذری محرم همونایین یازده ماه سال میگن آتئیستن
"پسر دائیم ۱۲ سالشه استوری گذاشته "" مثل عقاب تنها باش و مثل گرگ درنده "" . آهای عقاب تنهایی که مثل گرگ درنده ای ، فالوورات میدونن وقتی شیشه کمد رو با توپ شکوندی از ترس مامانت یه هفته خونه ما پلاس بودی ؟! واقعا واسم سواله😂😂  》شاه اسماعیل《  @OfficialPersianTwitter",2,پسر دائیم سالشه استوری گذاشته عقاب باش گرگ درنده آی عقاب تنیی گرگ درنده‌ای فالوورات میدونن شیشه کمد توپ شکوندی ترس مامانت  هفته خونه پلاس بودی واقعا واسم سواله😂😂 شاه اسماعیل
شما پسرای دهه هشتادی از یار لب میگیرید، حالا دیگه گاهی پیش میاد یه رشته موی بلوند، آغشته به عطر ورساچه، میخزه رو لبتون، لطفا غر نزنید   ما دهه پنجاهی های بدبخت، اولش باید دَه بیستا  تار سیبیل، به ضخامت سیمهای گیتار میجوعیدیم تا برسیم به هدف 😐😐  》لَبِ قصه های تو《  @OfficialPersianTwitter,1,پسرای هشتادی یار لب می‌گیرید دیگه گاهی میاد  رشته موی بلوند آغشته عطر ورساچه میخزه لبتون لطفا غر نزنید پنجاهی‌ی بدبخت اولش ده بیستا تار سیبیل ضخامت سیمی گیتار میجوعیدیم برسیم هدف 😐😐 لب قصه‌ی
🔴فوری  به علت ترافیک سنگین سایت سنجش نتایج در سایت آب و فاضلاب منتشر خواهد شد  》der HrNiko《  @OfficialPersianTwitter,3,فوری ترافیک سنگین سایت سنجش نتایج سایت آب فاضلاب منتشر
‏پارسال محرم خونه نشسته بودم مداح محل تو کوچه یهو داد زد، خانوما لطفا برید عقب تا دسته جاشه/////:  》نوفل لوشاتو《  @OfficialPersianTwitter,2,پارسال محرم خونه نشسته_بودم مداح محل کوچه یهو زد خانوما لطفا برید عقب جاشه نوفل‌لوشاتو
فکر کن نصف شب غلت میزنی سمت لب تخت، تو خواب و بیداری دستت یهو میخوره به یه جسمی که میدونی غیر از هوا قاعدتا چیزی نباید اونجا باشه! در کسری از ثانیه مغزت هشدار خطر میده، چشماتو باز میکنی میبینی یه سیاهی کنار تختت در سکوت و تاریکی زل زده بهت، درحالی که بدنت یخ کرده و شوکه شدی سیاهی خم میشه روت بوست میکنه با مهربونی میگه مامانی؟ تو چقدر نرمی! من جیش دارم :)  》مامانی که من باشم《  @OfficialPersianTwitter,3,کن نصف شب غلت می‌زنی لب تخت خواب بیداری دستت یهو میخوره  جسمی میدونی هوا قاعدتا اونجا باشه کسری ثانیه مغزت هشدار میده چشماتو می‌کنی می‌بینی  سیاهی تختت سکوت تاریکی زل زده بهت درحالی‌که بدنت یخ شوکه شدی سیاهی خم میشه روت بوست میکنه مهربونی میگه مامانی چقدر نرمی جیش دارم مامانی باشم
صبح زود از ناسا زنگ زدن خونمون، خوشحال شدم گفتم: دیشب نتایج کنکور اومد میخواین استخدامم کنین؟ گفت نه اسگل اسمتو بگو میخوایم این عدد جدیدی که کشف کردی رو به اسمت ثبت کنیم  》سرگرد《  @OfficialPersianTwitter,2,صبح زود ناسا زنگ زدن خونمون خوشحال شدم گفتم دیشب نتایج کنکور اومد میخواین استخدامم کنین اسگل اسمتو بگو میخوایم عدد جدیدی کشف کردی اسمت ثبت سرگرد
‏یادمه وقتی‌ نتایج کنکور اومد بابام اومد وایساد بالا سر کامپیوتر و گفت رتبه ات رو بخون  شروع کردم به خوندن  گفت این‌ که شماره موبایل عموته، رتبه رو بخون 🤣  》کوهنورد عاشق《  @OfficialPersianTwitter,2,یادمه نتایج کنکور اومد بابام اومد وایساد سر کامپیوتر رتبه‌ات بخون خوندن این‌که شماره موبایل عموته رتبه بخون کوهنورد عاشق
‏روزی که نتایج کنکور اومد بابام بالای سرم جلوی کامپیوتر وایساده بود؛ خواستم بهش بگم نتیجه کنکور یه چیز شخصیه که دیدم خلال دندونی که من دیشب استفاده کرده بودم، تو دهنشه!  》فریور خراباتی《  @OfficialPersianTwitter,2,روزی نتایج کنکور اومد بابام بالای سرم جلوی کامپیوتر وایساده خواستم بهش بگم نتیجه کنکور  شخصیه دیدم خلال دندونی دیشب استفاده کرده_بودم دهنشه فریور خراباتی
‏بچه فامیل اومد خونمون دیدم زیاد سروصدا میکنه گفتم اگه سر و صدا نکنی فردا میبرمت پارک ساعت ۶ صبح پا شدم برم دستشویی دیدم اومده میگه خاله فردا شده، منو ببر پارک دیگه :/  》آسپرین《  @OfficialPersianTwitter,1,بچه فامیل اومد خونمون دیدم سروصدا میکنه گفتم اگه سر صدا نکنی فردا میبرمت پارک ساعت صبح پا شدم برم دستشویی دیدم اومده میگه خاله فردا منو ببر پارک دیگه آسپرین
‏امروز یاد اعلام نتایج کنکور خودم افتادم ...  یه حس عمیق از رضایت و خوشحالی که دمت گرم . یادمه تا صبح خواب به چشمم نیومد  صبح مامانم گفت زنگ بزن به داداشتم بگو  زنگ زدم بهش گفتم داداش قبول شدم خیلی خونسرد  گفت خوب چیکار کنم ؟؟ 😂😂  》AtiBanoo《  @OfficialPersianTwitter,2,امروز یاد اعلام نتایج کنکور خودم افتادم  حس عمیق رضایت خوشحالی دمت گرم یادمه صبح خواب چشمم نیومد صبح مامانم زنگ بزن داداشتم بگو زنگ زدم بهش گفتم داداش قبول شدم خونسرد چیکار 😂😂
‏برای موفق شدن همیشه برای کارهاتون برنامه ریزی داشته باشید مثلا من خودم کارهای هر روزم رو لیست میکنم  فقط قبل از شروع کردن یه لحظه گوشیم رو باز میکنم و کلا همه چیز میره رو هوا :'(  》عریبرز فرب نیا《  @OfficialPersianTwitter,1,موفق کارتون برنامه‌ریزی داشته_باشید مثلا خودم کاری روزم لیست  لحظه گوشیم کلا میره هوا عریبرز فرب نیا
‏یادش بخیر رتبه کنکورم که اومد شده بودم ۶۷ هزار ، به مشاورم گفتم میتونم رشته های کوچیک پیرا پزشکی قبول بشم ؟ گفت آره میتونی بشینی‌ رو آمبولانس صدای آژیر در بیاری .  》حاج امیر هستم《  @OfficialPersianTwitter,3,یادش بخیر رتبه کنکورم اومد شده_بودم هزار مشاورم گفتم میتونم رشته‌ی کوچیک پیرا پزشکی قبول بشم آره میتونی بشینی آمبولانس صدای آژیر بیاری حاج امیر هستم
